Year,Month,Day of the Week,Hour,Location Type,Status,Day Part
2014,April,Friday,23,"Single Home, House",Stolen,Evening
2014,April,Sunday,3,Apartment,Stolen,Overnight
2014,April,Sunday,13,Parking Lots,Stolen,Afternoon
2014,April,Monday,2,"Streets, Roads, Highways",Stolen,Overnight
2014,April,Monday,2,"Streets, Roads, Highways",Stolen,Overnight
2014,April,Friday,21,"Single Home, House",Stolen,Evening
2014,April,Sunday,11,Go Station,Recovered,Morning
2014,April,Friday,23,"Single Home, House",Stolen,Evening
2014,April,Friday,23,"Single Home, House",Stolen,Evening
2014,April,Friday,23,"Single Home, House",Stolen,Evening
2014,February,Thursday,21,Apartment,Stolen,Evening
2014,April,Monday,10,"Streets, Roads, Highways",Stolen,Morning
2014,April,Tuesday,12,Open Areas,Unknown,Afternoon
2014,April,Monday,14,"Streets, Roads, Highways",Stolen,Afternoon
2014,April,Saturday,19,"Single Home, House",Stolen,Evening
2014,April,Friday,12,"Single Home, House",Stolen,Afternoon
2014,April,Monday,17,"Single Home, House",Stolen,Afternoon
2014,April,Tuesday,15,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2014,April,Friday,15,Apartment,Stolen,Afternoon
2014,April,Tuesday,16,"Single Home, House",Stolen,Afternoon
2014,April,Sunday,12,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2014,April,Wednesday,13,"Streets, Roads, Highways",Stolen,Afternoon
2014,April,Monday,20,Universities / Colleges,Stolen,Evening
2014,April,Tuesday,20,Universities / Colleges,Stolen,Evening
2014,April,Tuesday,16,Universities / Colleges,Stolen,Afternoon
2014,April,Wednesday,21,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Evening
2014,April,Saturday,17,Apartment,Stolen,Afternoon
2014,April,Sunday,8,"Single Home, House",Stolen,Morning
2014,April,Tuesday,18,Universities / Colleges,Stolen,Evening
2014,April,Wednesday,19,Private Property Structure,Stolen,Evening
2014,April,Friday,14,Apartment,Stolen,Afternoon
2014,April,Friday,18,Universities / Colleges,Stolen,Evening
2014,April,Friday,22,"Streets, Roads, Highways",Stolen,Evening
2014,April,Friday,9,"Streets, Roads, Highways",Stolen,Morning
2014,April,Thursday,11,"Single Home, House",Stolen,Morning
2014,April,Sunday,10,"Single Home, House",Stolen,Morning
2014,April,Tuesday,14,"Single Home, House",Recovered,Afternoon
2014,April,Saturday,2,"Single Home, House",Stolen,Overnight
2014,April,Saturday,12,"Streets, Roads, Highways",Stolen,Afternoon
2014,April,Saturday,10,Parking Lots,Stolen,Morning
2014,April,Monday,21,Bar / Restaurant,Stolen,Evening
2014,April,Friday,11,"Single Home, House",Stolen,Morning
2014,April,Monday,15,Parking Lots,Stolen,Afternoon
2014,April,Tuesday,16,"Streets, Roads, Highways",Stolen,Afternoon
2014,April,Tuesday,17,Apartment,Stolen,Afternoon
2014,April,Monday,17,Parking Lots,Stolen,Afternoon
2014,April,Wednesday,12,"Streets, Roads, Highways",Stolen,Afternoon
2014,April,Wednesday,3,Apartment,Stolen,Overnight
2014,April,Wednesday,3,Apartment,Stolen,Overnight
2014,April,Wednesday,14,"Streets, Roads, Highways",Recovered,Afternoon
2014,April,Sunday,9,Universities / Colleges,Stolen,Morning
2014,March,Sunday,12,"Single Home, House",Stolen,Afternoon
2014,April,Wednesday,20,"Single Home, House",Stolen,Evening
2014,April,Saturday,13,Apartment,Stolen,Afternoon
2014,March,Sunday,12,"Single Home, House",Stolen,Afternoon
2014,May,Thursday,9,Schools During Un-Supervised Activity,Stolen,Morning
2014,May,Friday,16,Apartment,Stolen,Afternoon
2014,May,Saturday,12,Convenience Stores,Stolen,Afternoon
2014,May,Saturday,9,"Streets, Roads, Highways",Stolen,Morning
2014,May,Thursday,16,"Single Home, House",Stolen,Afternoon
